barcode	stain_status
00093632	stained
00093671	stained
00093672	stained
00093703	stained
00093715	stained
00093736	stained
00093751	stained
00093826	stained
00093827	stained
00093874	stained
00093880	stained
00093905	stained
00093907	stained
00093916	stained
00093932	stained
00093940	stained
00094078	stained
00094096	stained
00094104	stained
00094105	stained
00094137	stained
00094228	stained
00094233	stained
00094316	stained
00094317	stained
00094350	stained
00094353	stained
00094361	stained
00094363	stained
00094374	stained
00094375	stained
00094376	stained
00094383	stained
00094396	stained
00094409	stained
00094448	stained
00094453	stained
00094460	stained
00094470	stained
00094507	stained
00094511	stained
00094512	stained
00094521	stained
00094527	stained
00094528	stained
00094531	stained
00094534	stained
00094542	stained
00094543	stained
00094552	stained
00094553	stained
00094556	stained
00094580	stained
00094595	stained
00094607	stained
00094638	stained
00094675	stained
00094695	stained
00094698	stained
00094703	stained
00094706	stained
00094720	stained
00094740	stained
00094745	stained
00094759	stained
00094778	stained
00094779	stained
00094793	stained
00094798	stained
00094803	stained
00094807	stained
00094808	stained
00094826	stained
00094835	stained
00094838	stained
00094857	stained
00094880	stained
00094937	stained
00095000	stained
00095003	stained
00095013	stained
00095015	stained
00095020	stained
00095030	stained
00095031	stained
00095034	stained
00095035	stained
00095037	stained
00095040	stained
00095060	stained
00095098	stained
00095204	stained
00095223	stained
00095252	stained
00095253	stained
00095266	stained
00095275	stained
00095311	stained
00095322	stained
00095325	stained
00095328	stained
00095329	stained
00095330	stained
00095331	stained
00095335	stained
00095387	stained
00095388	stained
00095391	stained
00095395	stained
00095396	stained
00095400	stained
00095408	stained
00095422	stained
00095442	stained
00095449	stained
00095472	stained
00095501	stained
00095503	stained
00095517	stained
00095518	stained
00095530	stained
00095533	stained
00095534	stained
00095537	stained
00095538	stained
00095543	stained
00095546	stained
00095557	stained
00095562	stained
00095588	stained
00095626	stained
00095640	stained
00095647	stained
00095652	stained
00095689	stained
00095734	stained
00095735	stained
00095758	stained
00095761	stained
00095762	stained
00095768	stained
00095769	stained
00095770	stained
00095772	stained
00095793	stained
00095797	stained
00095807	stained
00095808	stained
00095810	stained
00095813	stained
00095819	stained
00095824	stained
00095826	stained
00095827	stained
00095830	stained
00095833	stained
00095844	stained
00095849	stained
00095889	stained
00095890	stained
00095892	stained
00095911	stained
00095961	stained
00096016	stained
00096017	stained
00096026	stained
00096042	stained
00096057	stained
00096101	stained
00096108	stained
00096109	stained
00096114	stained
00096124	stained
00096157	stained
00096158	stained
00096161	stained
00096166	stained
00096168	stained
00096174	stained
00096200	stained
00096204	stained
00096222	stained
00096224	stained
00096225	stained
00096260	stained
00096275	stained
00096278	stained
00096297	stained
00096317	stained
00096322	stained
00096333	stained
00096347	stained
00096349	stained
00096350	stained
00096385	stained
00096387	stained
00096400	stained
00096420	stained
00096424	stained
00096425	stained
00096434	stained
00096436	stained
00096437	stained
00096438	stained
00096440	stained
00096444	stained
00096446	stained
00096458	stained
00096466	stained
00096472	stained
00096475	stained
00096480	stained
00096493	stained
00096495	stained
00096519	stained
00096566	stained
00096611	stained
00096623	stained
00096626	stained
00096628	stained
00096629	stained
00096630	stained
00096633	stained
00096634	stained
00096646	stained
00096654	stained
00096655	stained
00096677	stained
00096690	stained
00096693	stained
00096694	stained
00096697	stained
00096703	stained
00096706	stained
00096707	stained
00096712	stained
00096714	stained
00096741	stained
00096802	stained
00096803	stained
00096840	stained
00096844	stained
00096863	stained
00096873	stained
00096882	stained
00096891	stained
00096896	stained
00096899	stained
00096903	stained
00096910	stained
00096917	stained
00096924	stained
00096929	stained
00096938	stained
00096946	stained
00096952	stained
00096953	stained
00096965	stained
00096987	stained
00096991	stained
00097031	stained
00097143	stained
00097148	stained
00097152	stained
00097155	stained
00097157	stained
00097158	stained
00097160	stained
00097181	stained
00097187	stained
00097188	stained
00097189	stained
00097190	stained
00097193	stained
00097196	stained
00097222	stained
00097223	stained
00097224	stained
00097227	stained
00097228	stained
00097234	stained
00097260	stained
00097297	stained
00097300	stained
00097310	stained
00097359	stained
00097360	stained
00097361	stained
00097372	stained
00097396	stained
00097405	stained
00097558	stained
00097762	stained
00097848	stained
00097870	stained
00097885	stained
00097901	stained
00097912	stained
00097913	stained
00097914	stained
00097921	stained
00097926	stained
00097943	stained
00097955	stained
00097957	stained
00097958	stained
00097973	stained
00097980	stained
00098014	stained
00098049	stained
00098060	stained
00098068	stained
00098074	stained
00098114	stained
00098120	stained
00098123	stained
00098131	stained
00098132	stained
00098136	stained
00098143	stained
00098147	stained
00098160	stained
00098165	stained
00098166	stained
00098167	stained
00098174	stained
00098215	stained
00098216	stained
00098225	stained
00098226	stained
00098254	stained
00098263	stained
00098265	stained
00098267	stained
00098268	stained
00098277	stained
00098285	stained
00098298	stained
00098299	stained
00098300	stained
00098304	stained
00098315	stained
00098330	stained
00098344	stained
00098356	stained
00098365	stained
00098381	stained
00098382	stained
00098393	stained
00098399	stained
00098409	stained
00098471	stained
00098502	stained
00098514	stained
00098593	stained
00098649	stained
00098713	stained
00098716	stained
00098717	stained
00098766	stained
00098766_packet	stained
00098836	stained
00098890	stained
00098910	stained
00098936	stained
00098937	stained
00098940	stained
00098943	stained
00098944	stained
00098947	stained
00098971	stained
00099023	stained
00099052	stained
00099106	stained
00099112	stained
00099139	stained
00099148	stained
00099149	stained
00099154	stained
00099173	stained
00099208	stained
00099220	stained
00099231	stained
00099234	stained
00099244	stained
00099286	stained
00099542	stained
00099553	stained
00099590	stained
00099592	stained
00099594	stained
00099597	stained
00099607	stained
00099608	stained
00099634	stained
00099635	stained
00099656	stained
00099663	stained
00099678	stained
00099692	stained
00099693	stained
00099695	stained
00099720	stained
00099723	stained
00099725	stained
00099739	stained
00099740	stained
00099744	stained
00099758	stained
00099760	stained
00099763	stained
00099785	stained
00099791	stained
00099795	stained
00099808	stained
00099811	stained
00099817	stained
00099818	stained
00099821	stained
00099827	stained
00099834	stained
00099836	stained
00099837	stained
00099838	stained
00099843	stained
00099846	stained
00099851	stained
00099854	stained
00099856	stained
00099859	stained
00099861	stained
00099900	stained
00099903	stained
00099908	stained
00099910	stained
00099912	stained
00099916	stained
00099917	stained
00099919	stained
00099939	stained
00099947	stained
00099948	stained
00099949	stained
00099954	stained
00099963	stained
00099977	stained
00099998	stained
00100004	stained
00100006	stained
00100009	stained
00100010	stained
00100020	stained
00100027	stained
00100028	stained
00100040	stained
00100049	stained
00100050	stained
00100061	stained
00100064	stained
00100074	stained
00100075	stained
00100079	stained
00100108	stained
00100109	stained
00100113	stained
00100134	stained
00100138	stained
00100142	stained
00100151	stained
00100152	stained
00100163	stained
00100169	stained
00100179	stained
00100191	stained
00100211	stained
00100217	stained
00100219	stained
00100234	stained
00100243	stained
00100258	stained
00100261	stained
00100271	stained
00100273	stained
00100275	stained
00100278	stained
00100287	stained
00100309	stained
00100318	stained
00100330	stained
00100333	stained
00100334	stained
00100338	stained
00100344	stained
00100352	stained
00100365	stained
00100369	stained
00100381	stained
00100382	stained
00100387	stained
00100395	stained
00100402	stained
00100405	stained
00100409	stained
00100413	stained
00100414	stained
00100423	stained
00100424	stained
00100434	stained
00100435	stained
00100437	stained
00100439	stained
00100440	stained
00100441	stained
00100442	stained
00100443	stained
00100458	stained
00100464	stained
00100479	stained
00100484	stained
00100485	stained
00100486	stained
00100494	stained
00100495	stained
00100496	stained
00100499	stained
00100500	stained
00100501	stained
00100502	stained
00100504	stained
00100508	stained
00100509	stained
00100512	stained
00100513	stained
00100517	stained
00100518	stained
00100519	stained
00100520	stained
00100525	stained
00100526	stained
00100527	stained
00100533	stained
00100538	stained
00100569	stained
00100570	stained
00100575	stained
00100582	stained
00100583	stained
00100584	stained
00100616	stained
00100618	stained
00100620	stained
00100637	stained
00100658	stained
00100660	stained
00100670	stained
00100689	stained
00100700	stained
00100705	stained
00100710	stained
00100741	stained
00100743	stained
00100746	stained
00100760	stained
00100779	stained
00100789	stained
00100791	stained
00100796	stained
00100797	stained
00100818	stained
00100828	stained
00100830	stained
00100831	stained
00100857	stained
00100865	stained
00100870	stained
00100875	stained
00100876	stained
00100877	stained
00100893	stained
00100900	stained
00100962	stained
00100970	stained
00101032	stained
00101045	stained
00101051	stained
00101089	stained
00101138	stained
00101141	stained
00101156	stained
00101167	stained
00101199	stained
00101246	stained
00101251	stained
00101261	stained
00101276	stained
00101280	stained
00101298	stained
00101300	stained
00101345	stained
00101390	stained
00101411	stained
00101419	stained
00101435	stained
00101438	stained
00101445	stained
00101457	stained
00101459	stained
00101462	stained
00101463	stained
00101472	stained
00101476	stained
00101477	stained
00101480	stained
00101483	stained
00101488	stained
00101489	stained
00101498	stained
00101501	stained
00101616	stained
00101617	stained
00101618	stained
00101623	stained
00101624	stained
00101637	stained
00101639	stained
00101642	stained
00101643	stained
00101650	stained
00101680	stained
00101681	stained
00101682	stained
00101687	stained
00101688	stained
00101698	stained
00101700	stained
00101732	stained
00101764	stained
00101848	stained
00101852	stained
00101866	stained
00101904	stained
00101926	stained
00101927	stained
00101928	stained
00101933	stained
00101934	stained
00101948	stained
00101950	stained
00101964	stained
00101965	stained
00101981	stained
00101986	stained
00102003	stained
00102059	stained
00102066	stained
00102085	stained
00102114	stained
00102115	stained
00102116	stained
00102119	stained
00102126	stained
00102160	stained
00102171	stained
00102223	stained
00102228	stained
00102234	stained
00102271	stained
00102272	stained
00102276	stained
00102285	stained
00102287	stained
00102288	stained
00102292	stained
00102293	stained
00102294	stained
00102320	stained
00102340	stained
00102344	stained
00102347	stained
00102363	stained
00102373	stained
00102381	stained
00102392	stained
00102398	stained
00102405	stained
00102421	stained
00102422	stained
00102467	stained
00102469	stained
00102477	stained
00102478	stained
00102479	stained
00102535	stained
00102537	stained
00102543	stained
00102549	stained
00102561	stained
00102567	stained
00102573	stained
00102574	stained
00102577	stained
00102578	stained
00102579	stained
00102580	stained
00102586	stained
00102598	stained
00102622	stained
00102625	stained
00102631	stained
00102635	stained
00102637	stained
00102644	stained
00102651	stained
00102652	stained
00102666	stained
00102672	stained
00102679	stained
00102680	stained
00102681	stained
00102682	stained
00102684	stained
00102687	stained
00102689	stained
00102707	stained
00102713	stained
00102726	stained
00102729	stained
00102748	stained
00102760	stained
00102764	stained
00102774	stained
00102775	stained
00102777	stained
00102778	stained
00102795	stained
00102802	stained
00102803	stained
00102804	stained
00102824	stained
00102855	stained
00102856	stained
00102859	stained
00102860	stained
00102862	stained
00102868	stained
00102869	stained
00102870	stained
00102872	stained
00102876	stained
00102894	stained
00102895	stained
00102896	stained
00102898	stained
00102900	stained
00102905	stained
00102907	stained
00102910	stained
00102916	stained
00102922	stained
00102931	stained
00102942	stained
00102954	stained
00102959	stained
00102960	stained
00102961	stained
00102965	stained
00102981	stained
00102982	stained
00102996	stained
00103001	stained
00103004	stained
00103010	stained
00103013	stained
00103022	stained
00103027	stained
00103030	stained
00103041	stained
00103055	stained
00103058	stained
00103090	stained
00103120	stained
00103128	stained
00103136	stained
00103142	stained
00103143	stained
00103155	stained
00103156	stained
00103159	stained
00103162	stained
00103167	stained
00103168	stained
00103176	stained
00103180	stained
00103194	stained
00103208	stained
00103209	stained
00103210	stained
00103211	stained
00103255	stained
00103256	stained
00103269	stained
00103275	stained
00103277	stained
00103279	stained
00103281	stained
00103289	stained
00103290	stained
00103295	stained
00103302	stained
00103304	stained
00103312	stained
00103323	stained
00103341	stained
00103342	stained
00103348	stained
00103352	stained
00103360	stained
00103366	stained
00103369	stained
00103386	stained
00103388	stained
00103392	stained
00103397	stained
00103401	stained
00103410	stained
00103425	stained
00103431	stained
00103440	stained
00103444	stained
00103448	stained
00103452	stained
00103454	stained
00103456	stained
00103500	stained
00103520	stained
00103541	stained
00103556	stained
00103562	stained
00103565	stained
00103573	stained
00103595	stained
00103603	stained
00103610	stained
00103614	stained
00103656	stained
00103663	stained
00103672	stained
00103675	stained
00103682	stained
00103691	stained
00103702	stained
00103708	stained
00103715	stained
00103730	stained
00103732	stained
00103734	stained
00103737	stained
00103745	stained
00103754	stained
00103755	stained
00103756	stained
00103763	stained
00103799	stained
00103805	stained
00103809	stained
00103810	stained
00103814	stained
00103818	stained
00103819	stained
00103845	stained
00103851	stained
00103856	stained
00103876	stained
00103912	stained
00103924	stained
00103931	stained
00103932	stained
00103934	stained
00103936	stained
00104005	stained
00104037	stained
00104054	stained
00104059	stained
00104078	stained
00104086	stained
00104125	stained
00104128	stained
00104140	stained
00104194	stained
00104292	stained
00104296	stained
00104298	stained
00104299	stained
00104319	stained
00104325	stained
00104344	stained
00104505	stained
00104517	stained
00104631	stained
00104632	stained
00104639	stained
00104704	stained
00104728	stained
00104747	stained
00104810	stained
00104846	stained
00105023	stained
00105091	stained
00105095	stained
00105102	stained
00105137	stained
00105148	stained
00105184	stained
00105185	stained
00105188	stained
00105189	stained
00105190	stained
00105194	stained
00105205	stained
00105384	stained
00105412	stained
00105423	stained
00105562	stained
00105570	stained
00105573	stained
00105575	stained
00105583	stained
00105584	stained
00105592	stained
00105600	stained
00105616	stained
00105638	stained
00105642	stained
00105660	stained
00105672	stained
00105673	stained
00105674	stained
00105675	stained
00105683	stained
00105703	stained
00105706	stained
00105708	stained
00105717	stained
00105734	stained
00105736	stained
00105747	stained
00105748	stained
00105758	stained
00105789	stained
00105795	stained
00105797	stained
00105803	stained
00105811	stained
00105819	stained
00105835	stained
00105849	stained
00105874	stained
00105877	stained
00105881	stained
00105895	stained
00105909	stained
00105914	stained
00105915	stained
00105921	stained
00105924	stained
00105925	stained
00105934	stained
00105938	stained
00105942	stained
00105943	stained
00105947	stained
00105958	stained
00105959	stained
00105966	stained
00105970	stained
00105972	stained
00105973	stained
00105978	stained
00105991	stained
00105992	stained
00106005	stained
00106023	stained
00106035	stained
00106068	stained
00106071	stained
00106076	stained
00106079	stained
00106085	stained
00106089	stained
00106099	stained
00106111	stained
00106114	stained
00106115	stained
00106123	stained
00106127	stained
00106129	stained
00106145	stained
00106159	stained
00106164	stained
00106166	stained
00106179	stained
00106180	stained
00106181	stained
00106185	stained
00106187	stained
00106195	stained
00106196	stained
00106203	stained
00106204	stained
00106209	stained
00106213	stained
00106215	stained
00106219	stained
00106227	stained
00106229	stained
00106233	stained
00106241	stained
00106248	stained
00106256	stained
00106259	stained
00106262	stained
00106263	stained
00106265	stained
00106269	stained
00106279	stained
00106280	stained
00106284	stained
00106296	stained
00106308	stained
00106313	stained
00106314	stained
00106315	stained
00106316	stained
00106318	stained
00106319	stained
00106325	stained
00106326	stained
00106329	stained
00106332	stained
00106333	stained
00106335	stained
00106336	stained
00106362	stained
00106372	stained
00106753	stained
00106793	stained
00106810	stained
00106814	stained
00107181	stained
00107233	stained
00107309	stained
00107320	stained
00107345	stained
00107375	stained
00107408	stained
00107410	stained
00107431	stained
00107434	stained
00107435	stained
00107439	stained
00107452	stained
00107455	stained
00107456	stained
00107472	stained
00107488	stained
00107532	stained
00107542	stained
00107628	stained
00107637	stained
00107671	stained
00107680	stained
00107686	stained
00107761	stained
00107773	stained
00107775	stained
00107776	stained
00107779	stained
00107781	stained
00107812	stained
00107828	stained
00107839	stained
00107852	stained
00107854	stained
00107921	stained
00107970	stained
00107992	stained
00108023	stained
00108039	stained
00108040	stained
00108050	stained
00108056	stained
00108065	stained
00108078	stained
00108090	stained
00108094	stained
00108095	stained
00108104	stained
00108148	stained
00108168	stained
00108169	stained
00108223	stained
00108224	stained
00108226	stained
00108256	stained
00108262	stained
00108297	stained
00108354	stained
00108364	stained
00108421	stained
00108438	stained
00108439	stained
00108454	stained
00108529	stained
00108580	stained
00108584	stained
00108627	stained
00108636	stained
00108645	stained
00108646	stained
00108709	stained
00108710	stained
00108730	stained
00108841	stained
00108849	stained
00108857	stained
00108914	stained
00108927	stained
00108928	stained
00108930	stained
00108969	stained
00108971	stained
00108974	stained
00108983	stained
00108993	stained
00109005	stained
00109025	stained
00109029	stained
00109043	stained
00109045	stained
00109047	stained
00109062	stained
00109066	stained
00109181	stained
00109200	stained
00109206	stained
00109235	stained
00109237	stained
00109239	stained
00109258	stained
00109272	stained
00109278	stained
00109279	stained
00109286	stained
00109297	stained
00109307	stained
00109311	stained
00109315	stained
00109332	stained
00109342	stained
00109347	stained
00109350	stained
00109357	stained
00109362	stained
00109363	stained
00109374	stained
00109428	stained
00109482	stained
00109492	stained
00109505	stained
00109531	stained
00109532	stained
00109534	stained
00109537	stained
00109561	stained
00109566	stained
00109567	stained
00109573	stained
00109601	stained
00109603	stained
00109623	stained
00109624	stained
00109655	stained
00109674	stained
00109689	stained
00109706	stained
00109708	stained
00109723	stained
00109729	stained
00109734	stained
00109745	stained
00109749	stained
00109759	stained
00109779	stained
00109780	stained
00109783	stained
00109785	stained
00109817	stained
00109821	stained
00109827	stained
00109828	stained
00109856	stained
00109923	stained
00109969	stained
00109981	stained
00109987	stained
00109997	stained
00109998	stained
00110007	stained
00110029	stained
00110052	stained
00110053	stained
00110138	stained
00110180	stained
00110181	stained
00110182	stained
00110191	stained
00110200	stained
00110241	stained
00110289	stained
00110291	stained
00110295	stained
00110303	stained
00110311	stained
00110316	stained
00110340	stained
00110341	stained
00110361	stained
00110362	stained
00110363	stained
00110367	stained
00110390	stained
00110428	stained
00110429	stained
00110432	stained
00110451	stained
00110459	stained
00110460	stained
00110463	stained
00110465	stained
00110478	stained
00110483	stained
00110503	stained
00110512	stained
00110514	stained
00110517	stained
00110528	stained
00110544	stained
00110546	stained
00110548	stained
00110555	stained
00110558	stained
00110561	stained
00110578	stained
00110579	stained
00110582	stained
00110590	stained
00110608	stained
00110613	stained
00110614	stained
00110616	stained
00110624	stained
00110659	stained
00110673	stained
00110697	stained
00110703	stained
00110704	stained
00110739	stained
00110743	stained
00110744	stained
00110754	stained
00110767	stained
00110775	stained
00110785	stained
00110795	stained
00110833	stained
00110855	stained
00110858	stained
00110874	stained
00110881	stained
00110897	stained
00110921	stained
00110930	stained
00110931	stained
00110943	stained
00110945	stained
00110948	stained
00110978	stained
00110992	stained
00110999	stained
00111007	stained
00111014	stained
00111018	stained
00111060	stained
00111098	stained
00111134	stained
00111136	stained
00111176	stained
00111182	stained
00111224	stained
00111230	stained
00111236	stained
00111242	stained
00111246	stained
00111251	stained
00111253	stained
00111281	stained
00111284	stained
00111336	stained
00111339	stained
00111355	stained
00111356	stained
00111359	stained
00111366	stained
00111372	stained
00111388	stained
00111389	stained
00111394	stained
00111397	stained
00111407	stained
00111413	stained
00111422	stained
00111426	stained
00111429	stained
00111445	stained
00111448	stained
00111477	stained
00111500	stained
00111534	stained
00111578	stained
00111630	stained
00111701	stained
00111839	stained
00111882	stained
00111884	stained
00111888	stained
00111900	stained
00111901	stained
00111902	stained
00111903	stained
00111984	stained
00111985	stained
00112000	stained
00112119	stained
00112121	stained
00112162	stained
00112185	stained
00112215	stained
00112216	stained
00112218	stained
00112229	stained
00112232	stained
