barcode	stain_status	id	accessURI	institutionCode	catalogNumber	recordedBy	year	month	day	verbatimEventDate	country	stateProvince	county	locality	identifiedBy	scientificName
00000304	stained	http://n2t.net/ark:/65665/3ab82fa1e-a994-4fac-9c0b-dce6174d70e2	http://n2t.net/ark:/65665/m30d2723be-93e4-457e-a826-1d443204f598	US	943250	F. C. Lehmann				-- --- ----	Colombia			Plateau of Popayan.		Inga ursi
00000327	stained	http://n2t.net/ark:/65665/3ea9c6e02-e695-4bca-942d-05bfd9a1e404	http://n2t.net/ark:/65665/m39a676bf0-bf75-42df-b316-c9d948e935dd	US	865550	C. Wright	1871	1		-- Jan 1871 to  -- Mar 1871	Haiti					Inga vera subsp. lamprophylla
00000337	stained	http://n2t.net/ark:/65665/378b2bfe8-0220-4003-9faf-44eaeea00c7d	http://n2t.net/ark:/65665/m3068dd5f7-f0b4-4fe7-9d93-ec7b9d3f1ad1	US	1242162	M. E. Peck	1907	6		-- Jun 1907	Belize					Pithecellobium graciliflorum
00000346	stained	http://n2t.net/ark:/65665/32087d76e-ed71-40c8-80a3-153fb2f5960d	http://n2t.net/ark:/65665/m3a73a1ee3-c82f-4180-9c8c-b71c515696be	US	1350887	E. P. Killip & A. C. Smith	1926	11	28	28 Nov 1926 to  02 Dec 1926	Colombia	Santander		Near Puerto Wilches.		Inga smithii
00000365	stained	http://n2t.net/ark:/65665/3b5208d81-b64e-4317-b63c-e64d255ef5ad	http://n2t.net/ark:/65665/m3fc7f2fdf-76bf-400f-8dc2-3997f5a9efa4	US	46936	C. G. Pringle	1887	4	27	27 Apr 1887	Mexico	Chihuahua		Mapula Mts.		Pithecellobium palmeri var. recurvum
00000398	stained	http://n2t.net/ark:/65665/362781540-6802-4792-939d-09c7cd616f44	http://n2t.net/ark:/65665/m3d0402d36-d927-4df6-8155-9b6acdacd258	US	62796	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1842	Fiji					Serianthes vitiensis
00000403	stained	http://n2t.net/ark:/65665/386969adb-7ba1-4794-aff3-f77b38b319d3	http://n2t.net/ark:/65665/m3c915d7ee-35d1-471d-93cf-deb4d5f50746	US	350066	M. Bang	1894	5	6	06 May 1894	Bolivia	La Paz		Coripata		Pithecellobium coripatense
00000572	stained	http://n2t.net/ark:/65665/3bd6b1c0c-1435-403e-8380-4d6e72c7770e	http://n2t.net/ark:/65665/m31b222701-744c-4d33-965f-cde67694d709	US	73768	C. Wright	1849	5		-- May 1849 to  -- Oct 1949	United States			Western Texas to El Paso, New Mexico.		Acacia constricta
00000601	stained	http://n2t.net/ark:/65665/3d7e1e089-bcff-489d-b765-c2dbcf274859	http://n2t.net/ark:/65665/m34f1c1e4d-b480-46e5-8025-399dd8c230c6	US	47662	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1842	Fiji			[Vanua Levu Group]		Acacia richii
00000602	stained	http://n2t.net/ark:/65665/34b13638d-6de5-472e-aa79-8f3ea9f79d56	http://n2t.net/ark:/65665/m33303623b-5642-46e9-8710-ebc581f124b2	US	47663	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1842	Fiji			Sandalwood Bay. [Vanua Levu Group]		Acacia richii
00000638	stained	http://n2t.net/ark:/65665/300ea640b-a3fe-4236-bdd4-f83d064bba27	http://n2t.net/ark:/65665/m3c4803ec2-b754-4df8-b25d-683ce06c073a	US	58190	C. Wright	1849	6		-- Jun 1849	United States	Texas		San Antonio, Rio Grande.		Acacia wrightii
00000652	stained	http://n2t.net/ark:/65665/3efc5302f-ef08-4dc8-8b87-c7cfdff84e22	http://n2t.net/ark:/65665/m374a8053e-1b24-4dbe-a927-11835fe8e8f6	US	763552	E. W. Nelson	1894			-- --- 1894	Mexico	Oaxaca		La Paradis.		Acaciella ciliata
00000702	stained	http://n2t.net/ark:/65665/34a84a445-6822-4610-8800-d728286318d2	http://n2t.net/ark:/65665/m32166fb9b-92c0-4ceb-94b1-6dc99e27ac49	US	44327	E. W. Nelson	1894	9	8	08 Sep 1894	Mexico	Oaxaca		Valley of Oaxaca.		Senegalia oaxacana
00000755	stained	http://n2t.net/ark:/65665/3c2314301-8283-40e8-832c-51127c8c9a53	http://n2t.net/ark:/65665/m3a8189d48-b319-4ab4-b06a-7128ce50a943	US	48628	C. Wright	1849	6		-- Jun 1849	United States	Texas		Rio Nueces.		Leucaena retusa
00000764	stained	http://n2t.net/ark:/65665/32f0c75de-7306-41f9-862f-2a7eb66d79b0	http://n2t.net/ark:/65665/m39a9c2071-1dbf-4997-a4cb-104f67f64bed	US	62119	E. Hall	1872			-- --- 1872	United States	Texas				Leptoglottis halliana
00000766	stained	http://n2t.net/ark:/65665/383e245ed-7095-42b5-8da1-ea85b2c6d9e9	http://n2t.net/ark:/65665/m32cda3b6a-d5db-4d14-9eb6-564558a669c2	US	1814280	E. Hall	1872			-- --- 1872	United States	Texas				Leptoglottis hystricina
00000767	stained	http://n2t.net/ark:/65665/340bfc7ab-099d-4d2c-bc37-6d461ed4d3e8	http://n2t.net/ark:/65665/m36b76cd1e-9b64-4c5e-88d9-9961a245bea1	US	939715	A. A. Heller	1894	5	26	26 May 1894	United States	Texas	Carnes	Kenedy; alt. 400 ft.		Morongia latidens
00000775	stained	http://n2t.net/ark:/65665/373720bd8-48f2-4b16-abaf-cb0613d9219f	http://n2t.net/ark:/65665/m34b27390b-5d21-4a26-9c1e-86f31201b6ac	US	46956	F. J. Lindheimer	1846			-- --- 1846	United States	Texas	Comal	New Braunfels.		Schrankia platycarpa
00000845	stained	http://n2t.net/ark:/65665/37eacca12-64a9-4542-8f03-f25231e7e706	http://n2t.net/ark:/65665/m3430117ea-d364-4c8e-b845-4cfa5d9524c9	US	1814956	F. J. Lindheimer	1847			-- --- 1847	United States	Texas				Mimosa fragrans
00000851	stained	http://n2t.net/ark:/65665/392edc0bd-7b98-47a9-9db2-19d7ce17b11c	http://n2t.net/ark:/65665/m336c996c7-a0f2-4c7e-b449-eb1b526dc3b6	US	46954	C. Wright	1851	9		-- Sep 1851	Mexico	Sonora		Between San Pedro and Sonoita.		Mimosa grahami
00000872	stained	http://n2t.net/ark:/65665/3df9a0321-90ed-4812-92f0-431243ad54d6	http://n2t.net/ark:/65665/m3eed3b2a8-a4a1-43cf-8d7a-6f3cb866ea64	US	46953	J. G. Lemmon	1882			-- --- 1882	United States	Arizona	Cochise	Near Fort Huachuca, Cave Canyon.		Mimosa lemmonii
00000902	stained	http://n2t.net/ark:/65665/34679d330-a661-4c5c-a574-de98446f2464	http://n2t.net/ark:/65665/m37622bbd5-b3e1-46aa-9235-598ac933452a	US	252377	E. W. Nelson	1895	11	21	21 Nov 1895	Mexico	Chiapas		Near Yajalon.		Mimosa pseudopaniculata
00000948	stained	http://n2t.net/ark:/65665/3e2e3a2aa-e3f2-4eee-9445-9d09922c4095	http://n2t.net/ark:/65665/m324d15c74-b982-49da-b7e3-744aac685f83	US	15172	L. J. Xantus	1859	8		-- Aug 1859 to  -- Jan 1860	Mexico	Baja California Sur		Cape San Lucas.		Mimosa xanti
00000954	stained	http://n2t.net/ark:/65665/39be95ee5-85eb-489f-ab46-44db1878cbec	http://n2t.net/ark:/65665/m383def903-744e-4c03-8b24-797f71fdef71	US	48636	C. Wright	1851	9		-- Sep 1851	Mexico	Sonora		Sonoita.		Mimosa wrightii
00000983	stained	http://n2t.net/ark:/65665/31f8a5c75-396c-4abf-9e6b-7446c92bc850	http://n2t.net/ark:/65665/m38e0e9391-7d02-43f6-beea-89c2aabe46a3	US	46780	E. Palmer	1887			-- --- 1887	Mexico	Sonora		Guaymas		Prosopis articulata
00001066	stained	http://n2t.net/ark:/65665/31be5e63d-3538-4f60-9477-9726aacf1af4	http://n2t.net/ark:/65665/m3bdef3346-1f09-45f5-9761-1bba226a2342	US	62096	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1842	Fiji					Cynometra falcata
00001067	stained	http://n2t.net/ark:/65665/3546f5081-2aad-4d28-ac91-8aa7db4876e7	http://n2t.net/ark:/65665/m39038bca2-4225-4d71-ba38-1b56a577cb69	US	62097	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1842	Fiji					Cynometra grandiflora
00001279	stained	http://n2t.net/ark:/65665/367e94160-1f17-4fd9-a6f9-ab72d91748ef	http://n2t.net/ark:/65665/m3f920ab2a-d0b6-437d-b6dc-2d41f66e37ed	US	49939	E. Bourgeau	1866	1	13	13 Jan 1866	Mexico			Valle de Cordova.		Bauhinia dipetala
00001307	stained	http://n2t.net/ark:/65665/3d04e0b2e-ea28-4e9d-8adc-7a230f163aaa	http://n2t.net/ark:/65665/m3ae0e05c0-cf32-4650-954d-a6719de5306c	US	59693	C. J. Maximowicz	1863			-- --- 1863	Japan			Japonia. Nagasaki.		Bauhinia japonica
00001314	stained	http://n2t.net/ark:/65665/353830b35-5805-4841-9c2b-33a795cc26b4	http://n2t.net/ark:/65665/m362f3663c-f919-4fbc-ada1-48fa1bea9799	US	305328	E. Palmer	1891	8	16	16 Aug 1891 to  25 Aug 1891	Mexico	Sinaloa		Ymala.		Bauhinia longiflora
00001405	stained	http://n2t.net/ark:/65665/33b2c4834-575d-4cff-b18c-70d5148d59a3	http://n2t.net/ark:/65665/m330bdf9a8-11e1-49b9-9a8c-cad06c6e6389	US	2909206	M. Villa Carenzo & R. Leoname	1962	1	26	26 Jan 1962	Argentina	Tucumán	Burroyaco	Alto de Enedina.		Cassia burkartiana
00001496	stained	http://n2t.net/ark:/65665/3c780a0d3-4f3a-4e5d-ac9a-c21151f293d3	http://n2t.net/ark:/65665/m3b4ff1843-20fc-44f0-8997-944c9982f59d	US	59695	E. Palmer	1877			-- --- 1877	United States	Arizona	Coconino	Virgen River, Beaver Dam.		Astragalus preussii var. laxiflorus
00001499	stained	http://n2t.net/ark:/65665/377929ba0-7e27-4812-891b-388e7153d998	http://n2t.net/ark:/65665/m32848e0e4-31a2-4b2e-9630-99e0c290c70c	US	46831	S. Watson	1868	5		-- May 1868	United States	Nevada		Trinity Mountains.		Astragalus porrectus
00001502	stained	http://n2t.net/ark:/65665/339be4d6e-b1bc-43ea-904f-adfc69ed27ac	http://n2t.net/ark:/65665/m370d80fd6-5775-48b0-a39b-29252d56394e	US	287966	J. Leiberg	1894	6	7	07 Jun 1894	United States	Oregon	Tilliam	Pine Creek.		Cystium platyphillidium
00001506	stained	http://n2t.net/ark:/65665/3e33c6fa7-a416-4ddc-abdf-5484c515958a	http://n2t.net/ark:/65665/m3e34f7581-a8b2-47d9-a437-fbb9b477d822	US	70307	A. Fendler	1847			-- --- 1847	United States	Utah				Phaca picta
00001514	stained	http://n2t.net/ark:/65665/370dbaddd-73ca-4ef3-87a7-818952aca3c7	http://n2t.net/ark:/65665/m3d9ab80aa-c144-43a1-9474-b4362dd561b3	US	46796	H. N. Patterson	1876	7	28	28 Jul 1876	United States	Colorado	Grand	Gore Mountains, Middle Park.		Astragalus pattersonii
00001519	stained	http://n2t.net/ark:/65665/3cdc67837-c93a-4a61-b1e0-1a622cd3c4e2	http://n2t.net/ark:/65665/m32768ef51-36a3-4ea7-ac22-29d4493aa773	US	46912	C. G. Pringle	1885	4	8	08 Apr 1885	Mexico	Chihuahua		Near Chihuahua.		Astragalus pringlei
00001520	stained	http://n2t.net/ark:/65665/3d7a879ac-09e5-4bfc-8b05-a487633b18a4	http://n2t.net/ark:/65665/m33c42b23d-c49b-464f-bef2-26732e630b53	US	26208	E. Palmer	1877			-- --- 1877	United States	Nevada	Clark	Junction of Muddy River and Virgen River, St. Thomas.		Astragalus procerus
00001527	stained	http://n2t.net/ark:/65665/3cb10c768-5a17-4877-bb6e-74cb761e5d07	http://n2t.net/ark:/65665/m3b8d2302c-b138-4471-bf01-25d089868ac7	US	46832	S. Watson	1868	9		-- Sep 1868	United States	Nevada		Mouth of Reese River.		Astragalus pterocarpus
00001545	stained	http://n2t.net/ark:/65665/38af10d89-bb5c-4f47-95b7-dfdd5e90f374	http://n2t.net/ark:/65665/m3a1a87ee3-f5c0-4313-bfab-d7156ddefa06	US	43559	E. Palmer	1880	2		-- Feb 1880 to  -- Oct 1880	Mexico	Coahuila		Saltillo.		Astragalus sanguineus
00001549	stained	http://n2t.net/ark:/65665/30c0ec98b-ba73-423b-95ab-6a515c07347a	http://n2t.net/ark:/65665/m383e147d3-1a6c-4d44-889a-5c2812376097	US	46797	E. Palmer	1877			-- --- 1877	United States	Nevada	Lincoln	Muddy River and Rio Virgen.		Astragalus sabulonum
00001556	stained	http://n2t.net/ark:/65665/3c4287e94-95e2-4aa1-9e94-3aa0f60f9bcd	http://n2t.net/ark:/65665/m3d64a6407-3302-4f40-9345-c85901c1a884	US	46808	S. Watson	1868	8		-- Aug 1868	United States	Nevada		East Humboldt Mountains.		Astragalus robbinsii var. occidentalis
00001559	stained	http://n2t.net/ark:/65665/324e47c23-4fdf-4114-9297-e695a8ccb4f2	http://n2t.net/ark:/65665/m3a9173521-7fd8-4d97-9e7b-89ff45b4c6f2	US	47696	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1842	Peru			Andes Mountains, Obrajillo		Astragalus richii
00001560	stained	http://n2t.net/ark:/65665/37cf42faf-b0f3-473f-bbcb-cea50a18c621	http://n2t.net/ark:/65665/m3c6cb6883-40a5-48d1-99cf-2cca7d5476bb	US	125611	F. Tweedy	1888	8		-- Aug 1888	United States	Montana	Beaverhead	Grasshopper Creek.		Astragalus reventoides
00001573	stained	http://n2t.net/ark:/65665/374cdcece-68c7-4ebf-9165-0c891fc9bb10	http://n2t.net/ark:/65665/m3cd06bb6e-575f-43e0-a1cb-0d4dda36c90e	US	46841	F. M. Bishop	1873			-- --- 1873	United States	Utah		Southern (part).		Astragalus sesquiflorus
00001596	stained	http://n2t.net/ark:/65665/33c07c4cf-229e-48af-9304-6b9625ccc943	http://n2t.net/ark:/65665/m32ef06c60-87c0-44da-88d5-fa837e8e3800	US	47144	E. Palmer	1877			-- --- 1877	United States	Arizona	Coconino	Mokiak Pass.		Astragalus subcinereus
00001599	stained	http://n2t.net/ark:/65665/3e6fde980-599d-4c71-a9fa-b86f15e926fd	http://n2t.net/ark:/65665/m3125d2635-c5bc-4715-8fd6-f44acaa9abac	US	61143	E. Palmer	1870			-- --- 1870	United States	Utah		Southeast portion of state.		Cystium stramineum
00001610	stained	http://n2t.net/ark:/65665/3fd079023-0ffb-4fd9-90c3-74e38fa95298	http://n2t.net/ark:/65665/m301af0995-c4eb-499d-88c6-253e2a9a87ba	US	49873	C. Wright	1851	9		-- Sep 1851	Mexico	Sonora		Between the San Pedro and Sonoita rivers.		Astragalus sonorae
00001612	stained	http://n2t.net/ark:/65665/3c3b8ea53-3d53-4a0f-88ce-c332024832f9	http://n2t.net/ark:/65665/m3d3529e61-1e14-4e1f-a599-e28b3137bc60	US	46833	S. Watson	1868	7		-- Jul 1868	United States	Nevada		Peaks E of Humboldt and Clover Mountains.		Astragalus tegetarius
00001613	stained	http://n2t.net/ark:/65665/3d2bf03ec-bb56-4ff2-b19c-88a750ff51cf	http://n2t.net/ark:/65665/m317b05004-5f72-4279-8d7d-5fa0f0991b9c	US	70272	W. M. Canby	1871	8		-- Aug 1871	United States	Colorado	Park	South Park.		Astragalus tegetarius var. implexus
00001619	stained	http://n2t.net/ark:/65665/3311458dd-4f47-429d-9d21-ce8514b7c877	http://n2t.net/ark:/65665/m302ccda40-c78f-4b58-bdc7-0e32adc3e34c	US	26206	E. P. Thompson & F. M. Bishop	1872			-- --- 1872	United States	Utah		Southern (part).		Astragalus thompsonae
00001632	stained	http://n2t.net/ark:/65665/367596983-9fbe-4d39-9321-90d7735708b4	http://n2t.net/ark:/65665/m3da7fb624-30f0-4427-827c-5bf37f6902ed	US	47659	C. Wright	1851	8		-- Aug 1851	United States	New Mexico		Ojo de Vaca.		Astragalus vaccarum
00001636	stained	http://n2t.net/ark:/65665/340cfcf9d-fe35-4487-920d-b0dd340b1279	http://n2t.net/ark:/65665/m307da0b8d-133a-46ea-b071-1e7996fc5e3a	US	47135	J. G. Lemmon	1875	7		-- Jul 1875	United States	California	Plumas	Sierra Nevada, Indian valley.		Astragalus webberi
00001639	stained	http://n2t.net/ark:/65665/3dcb85f16-84fe-4195-9ef5-604a77a725f3	http://n2t.net/ark:/65665/m378725938-3189-4b52-8cc1-061feecd0504	US	138112	L. F. Ward	1875	7	25	25 Jul 1875	United States	Utah		Slope of Aquarius Plateau.		Astragalus wardii
00001640	stained	http://n2t.net/ark:/65665/3b97b3980-21bf-4aff-854f-1c6fdd3bb5ad	http://n2t.net/ark:/65665/m3038ea060-7376-40ee-8bf9-22d42c398e17	US	46795	L. F. Ward	1875	7	25	25 Jul 1875	United States	Utah	Sevier	Aquarius Plateau.		Astragalus wardii
00001644	stained	http://n2t.net/ark:/65665/36a8f220f-a191-4daf-b6a5-81628b9806c9	http://n2t.net/ark:/65665/m35157ffd8-beeb-4b5e-bb65-e8e4a46cc0e6	US	317352	W. Forwood	1881	7	12	12 Jul 1881 to  12 Jul 1882	United States	Wyoming	Fremont	Yellowstone National Park, north fork of Wind River.		Aragallus ventosus
00001723	stained	http://n2t.net/ark:/65665/32b6a9fed-1fc8-4d60-9ffc-62bb7955c476	http://n2t.net/ark:/65665/m3d2419c81-cadf-4cfb-9897-8db5c19723f9	US	49932	C. Wright	1851			-- --- 1851	Mexico	Sonora		Near deserted Rancho on Sonoita.		Cassia wrightii
00001783	stained	http://n2t.net/ark:/65665/3266f1287-798d-4b4f-bfdf-d0ce9554597b	http://n2t.net/ark:/65665/m3ffcb9fac-a4dd-43e9-bda2-865664db4a24	US	33078	M. Bang	1890			-- --- 1890	Bolivia			Yungas.		Senna ruiziana var. micrandra
00001798	stained	http://n2t.net/ark:/65665/322a02940-f273-40a4-821f-98a5ca3a6ae0	http://n2t.net/ark:/65665/m3d425e1cd-aeea-488e-9231-cbd1145494c2	US	65244	W. C. Cusick	1886			-- --- 1886	United States	Oregon				Oxytropis cusickii
00001801	stained	http://n2t.net/ark:/65665/38c087950-1621-48db-9832-4d5d134a52e4	http://n2t.net/ark:/65665/m3285fc41e-10ab-4d77-bcb8-d569ddf7abcf	US	423567	E. Hall & J. Harbour	1862			-- --- 1862	United States	Colorado				Oxytropis hallii
00001807	stained	http://n2t.net/ark:/65665/3af4b58a4-90be-4b87-963c-749f42e24cd9	http://n2t.net/ark:/65665/m3049fea3f-638c-4d80-bc55-150452b3eab3	US	46312	J. M. Bigelow	1853			-- --- 1853	United States	Colorado		Upper Canadian River.		Oxytropis lambertii var. bigelovii
00001823	stained	http://n2t.net/ark:/65665/3001a4e79-18d0-47c0-b908-419105589ed0	http://n2t.net/ark:/65665/m33b60695e-202a-4f55-975f-f9904a9521d4	US	60955	S. Tschonoski	1864			-- --- 1864	Japan					Hedysarum iwawogi
00001837	stained	http://n2t.net/ark:/65665/3077083e5-8f16-4afa-a231-e1681c5cc2f7	http://n2t.net/ark:/65665/m37e2a378f-b887-43c5-93e7-622214a25076	US	132382	E. Bourgeau				-- --- ----	Turkey			Lycia, Asia Minor.		Ebenus bourgaei
00001852	stained	http://n2t.net/ark:/65665/3645a9854-29a4-4b3a-be0b-f19614c84688	http://n2t.net/ark:/65665/m37a008bc4-7c38-4339-921c-83d7c5bfc44f	US	48639	E. Palmer	1880	2		-- Feb 1880 to  -- Oct 1880	Mexico	Coahuila		Mountains E of Saltillo.		Nissolia platycalyx
00001853	stained	http://n2t.net/ark:/65665/358f563c8-d816-4a30-bb9b-56e4abadd190	http://n2t.net/ark:/65665/m30f1bb58a-2a59-4f01-bd32-1bf8b057472f	US	48638	E. Palmer	1880	2		-- Feb 1880 to  -- Oct 1880	Mexico	Coahuila		Mountains E of Saltillo.		Nissolia platycalyx
00001874	stained	http://n2t.net/ark:/65665/3cdc3f90e-05ab-4c2b-998d-e80d06f43179	http://n2t.net/ark:/65665/m34f2e184c-19af-4fb1-8448-0ff2d1a2e977	US	46949	E. Palmer	1886	8			Mexico	Jalisco		Tequila.		Brya amorphoides
00001876	stained	http://n2t.net/ark:/65665/36640a782-2c16-43cc-97e4-824bf3421c7f	http://n2t.net/ark:/65665/m382e29cfa-0a6b-4d97-83dd-cd5ff4819c02	US	47536	C. Wright				12 Sep ----	Cuba					Pictetia angustifolia
00001899	stained	http://n2t.net/ark:/65665/384f1a9f0-30f5-4baa-aa65-7dcc9375dc1a	http://n2t.net/ark:/65665/m3f1f485e1-00db-41e5-be73-ac0b4c5b58dd	US	47305	C. Wright				-- --- ----	Cuba	Pinar del Río		San Cristobal, Chirigota.		Aeschynomene evenia
00001931	stained	http://n2t.net/ark:/65665/3a9e913cd-d9c0-4744-85a1-cf458f517b56	http://n2t.net/ark:/65665/m380b99bce-5734-4731-a2a1-a2c1c16a2a5a	US	47303	C. Wright				-- --- ----	Cuba					Aeschynomene tenuis
00001932	stained	http://n2t.net/ark:/65665/3eee5aaca-02ca-4081-847c-d28fc4078743	http://n2t.net/ark:/65665/m33f7262de-d92f-4e41-83ca-4fcd7038c54d	US	47304	C. Wright				-- --- ----	Cuba					Aeschynomene tuberculata
00001942	stained	http://n2t.net/ark:/65665/342602d76-4a09-4779-bebd-fc82e5f63606	http://n2t.net/ark:/65665/m3f83f175d-4258-4b80-bea2-febb8fdedfc9	US	78624	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1842	Peru			Obrajillo		Adesmia hispidula var. subnuda
00001943	stained	http://n2t.net/ark:/65665/3afd456bf-5451-412e-9cb3-1e246f41bc30	http://n2t.net/ark:/65665/m34cf83d86-f394-4dd4-ae9e-7f87c493adc5	US	75071	Wilkes Explor. Exped.	1839			-- --- 1839	Peru			Andes Mountains, Obrajillo		Adesmia hispidula var. plumosa
00001946	stained	http://n2t.net/ark:/65665/3fe1310fb-f08f-4ef1-9fdc-a1ea527835d5	http://n2t.net/ark:/65665/m34565d454-5813-43a2-a8e0-b5d83f216eed	US	75070	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1839	Argentina	Río Negro		N Patagonia		Adesmia filipes
00001947	stained	http://n2t.net/ark:/65665/31c97def7-ecfb-4666-a045-3a9de7fb761d	http://n2t.net/ark:/65665/m3589eb5b4-c48d-42da-abf1-d04fb74b169e	US	2605877	Wilkes Explor. Exped.	1838			-- --- 1838 to -- --- 1842	Argentina	Río Negro		Patagonia.		Streptodesmia canescens
00001950	stained	http://n2t.net/ark:/65665/36326cf94-1944-45ed-8b9d-d85d25d679a9	http://n2t.net/ark:/65665/m3822ad94e-c6f8-4914-b8f6-3156d4fe0add	US	700995	O. Kuntze	1892	9		-- Sep 1892	Paraguay			Villa Florida.		Discolobium paucijugum
00001961	stained	http://n2t.net/ark:/65665/39079d442-40b2-41e7-8562-2349b815bacf	http://n2t.net/ark:/65665/m3a49a0004-3dda-4550-ad83-14cd4de3c919	US	301895	J. N. Rose	1897	9	10	10 Sep 1897 to  19 Sep 1897	Mexico	Jalisco		Bolanos		Stylosanthes purpurata
00001983	stained	http://n2t.net/ark:/65665/33fd84e16-13fe-4845-aef8-00c8945e52a1	http://n2t.net/ark:/65665/m3eb520637-fb8d-4c1a-ae72-a92cdfc165d6	US	48501	C. Wright	1851	9		-- Sep 1851	Mexico	Sonora		Sonoita.		Desmodium annuum
00002002	stained	http://n2t.net/ark:/65665/322b4273e-9479-4cb8-9900-3fa48ab54953	http://n2t.net/ark:/65665/m339f34704-8664-4f03-9fdc-67d93f8f0fcb	US	48467	C. Wright	1851	8		-- Aug 1851	United States	New Mexico				Desmodium grahami
00002006	stained	http://n2t.net/ark:/65665/333e0283f-3820-4cc1-91f3-ef8669adbb04	http://n2t.net/ark:/65665/m3a5230a3c-f0e8-470a-af3c-b62e0b854282	US	48502	C. Wright	1851	9		-- Sep 1851	Mexico	Sonora		Sonoita.		Desmodium exiguum
00002012	stained	http://n2t.net/ark:/65665/3738b4db7-0eff-4bc4-8986-f48ec84bbf2b	http://n2t.net/ark:/65665/m31ef8f396-f691-40f2-8225-9d5db2adb8e5	US	48504	C. Wright	1851	9		-- Sep 1851	Mexico	Sonora		Between Barbocomori and Santa Cruz.		Desmodium cinerascens
00002018	stained	http://n2t.net/ark:/65665/397699c09-6e58-48b1-a479-4511f47d2aa4	http://n2t.net/ark:/65665/m3c0daf9e9-a5c5-401c-8133-878fb1fe6c82	US	48480	E. Bourgeau	1865	7	6	06 Jul 1865 or  06 Jul 1866	Mexico	Mexico		Valle de Mexico, Santa Fe.		Desmodium callilepis
